position_x:0.0 position_y:0.0 position_z:1.1752700805664062
position_x:116.74576568603516 position_y:-1.2258332967758179 position_z:-19.967952728271484
position_x:116.77387237548828 position_y:-0.7350454330444336 position_z:-19.864269256591797
position_x:116.8099136352539 position_y:-0.22730059921741486 position_z:-19.80701446533203
position_x:116.84770202636719 position_y:0.28137218952178955 position_z:-19.717544555664062
position_x:116.88589477539062 position_y:0.7700110673904419 position_z:-19.643768310546875
position_x:116.93656921386719 position_y:1.4280580282211304 position_z:-19.527761459350586
position_x:116.97270965576172 position_y:1.9252668619155884 position_z:-19.453407287597656
position_x:117.00833892822266 position_y:2.42620849609375 position_z:-19.397504806518555
position_x:117.04229736328125 position_y:2.9424750804901123 position_z:-19.401103973388672
position_x:117.04241943359375 position_y:6.1486430168151855 position_z:-19.631210327148438
position_x:117.00760650634766 position_y:6.272376537322998 position_z:-19.61696434020996
position_x:116.9647445678711 position_y:6.439425945281982 position_z:-19.619295120239258
position_x:116.92008209228516 position_y:6.657317638397217 position_z:-19.63852882385254
position_x:116.86304473876953 position_y:6.972795009613037 position_z:-19.568443298339844
