position_x:0.0 position_y:0.0 position_z:1.1752631664276123
position_x:72.24383544921875 position_y:-17.791513442993164 position_z:-5.424570083618164
position_x:72.52363586425781 position_y:-18.15413475036621 position_z:-5.36575174331665
position_x:72.8401107788086 position_y:-18.541278839111328 position_z:-5.372360706329346
position_x:73.13751220703125 position_y:-18.893007278442383 position_z:-5.432182788848877
position_x:73.42695617675781 position_y:-19.229631423950195 position_z:-5.5021233558654785
position_x:73.78295135498047 position_y:-19.633018493652344 position_z:-5.55961799621582
position_x:74.08000946044922 position_y:-19.965124130249023 position_z:-5.568241119384766
position_x:74.4210205078125 position_y:-20.341466903686523 position_z:-5.561105728149414
position_x:74.73985290527344 position_y:-20.689865112304688 position_z:-5.556119441986084
position_x:75.05381774902344 position_y:-21.030807495117188 position_z:-5.503617286682129
position_x:75.4603271484375 position_y:-21.465269088745117 position_z:-5.349588871002197
position_x:75.782470703125 position_y:-21.79966926574707 position_z:-5.205860137939453
position_x:76.13920593261719 position_y:-22.1523380279541 position_z:-5.107337951660156
position_x:76.47888946533203 position_y:-22.474760055541992 position_z:-5.009113311767578
position_x:76.82894134521484 position_y:-22.792591094970703 position_z:-4.969555377960205
position_x:77.22051239013672 position_y:-23.132095336914062 position_z:-4.9847025871276855
position_x:77.58253479003906 position_y:-23.43939781188965 position_z:-4.931492328643799
position_x:77.94163513183594 position_y:-23.7371883392334 position_z:-4.840954780578613
position_x:78.3161849975586 position_y:-24.04305648803711 position_z:-4.7574286460876465
position_x:78.70274353027344 position_y:-24.35403823852539 position_z:-4.6786274909973145
position_x:79.07307434082031 position_y:-24.650930404663086 position_z:-4.580450534820557
position_x:79.43447875976562 position_y:-24.941993713378906 position_z:-4.520660400390625
position_x:79.82256317138672 position_y:-25.254756927490234 position_z:-4.391096115112305
position_x:80.35596466064453 position_y:-25.682945251464844 position_z:-4.1297926902771
position_x:80.73470306396484 position_y:-25.98659324645996 position_z:-3.945218563079834
position_x:81.127197265625 position_y:-26.30110740661621 position_z:-3.7221410274505615
